Scheme,Question,Answer
 Dairy Cooperatives & Farmer Producer Organizations,"What is the progress of the ""SDCFPO"" scheme as of August 4, 2022, in terms of interest subvention?","As of August 4, 2022, NDDB has conveyed sanction of interest subvention amounting to Rs. 151.02 crore against working capital loans for 55 milk unions in the year 2020-21 and Rs. 208.88 crore for 60 milk unions in the year 2021-22."
 Dairy Cooperatives & Farmer Producer Organizations,"How does the ""SDCFPO"" scheme contribute to the stability of market access for dairy farmers?","The scheme contributes to the stability of market access for dairy farmers by providing soft working capital loans to State Dairy Cooperative Federations, ensuring they can procure milk at remunerative prices, even during the flush season."
 Dairy Cooperatives & Farmer Producer Organizations,"What is the Union Cabinet's approval regarding the ""SDCFPO"" scheme and its outlay?","The Union Cabinet approved the implementation of the ""SDCFPO"" as a part of the Umbrella Scheme ""Infrastructure Development Fund"" from 2021-22 to 2025-26 with an outlay of Rs. 500 Crore."
 Dairy Cooperatives & Farmer Producer Organizations,"How does the ""SDCFPO"" scheme contribute to the interest subvention component and the economic support for dairy cooperatives?","The scheme supports dairy cooperatives by incorporating an interest subvention component, providing economic support during challenging times and ensuring timely repayments with additional incentives."
Farming Agreement Final Act,"What is the short title of the rules related to dispute resolution under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The short title of the rules related to dispute resolution under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020 is the Farmers’ Agreement on Price Assurance and Farm Services (Dispute Resolution) Rules, 2020."
Farming Agreement Final Act,"When do the Farmers' Agreement on Price Assurance and Farm Services (Dispute Resolution) Rules, 2020 come into force?","The Farmers' Agreement on Price Assurance and Farm Services (Dispute Resolution) Rules, 2020 come into force on the date of their publication in the Official Gazette, as specified in rule 1(2)."
Farming Agreement Final Act,"Under the jurisdiction rules, who is designated as the Sub-divisional Authority to decide disputes related to farming agreements?","The Sub-divisional Magistrate having jurisdiction over the land on which the farming produce is produced or intended to be produced is designated as the Sub-divisional Authority to decide disputes related to farming agreements, as per rule 3."
Farming Agreement Final Act,"What is the procedure for filing an application in case of a dispute under a farming agreement, according to rule 4?","In case of a dispute under a farming agreement, the concerned party may approach the Sub-Divisional Authority by filing an application in Form-1, along with an affidavit, a copy of the farming agreement, memorandum of conciliation proceeding (if any), and any document supporting the claims. The applicant should also provide proof of serving a copy of the application with documents on the opposite party."
Farming Agreement Final Act,"How is the conciliation board appointed, and what is its role as per the Farmers' Agreement on Price Assurance and Farm Services (Dispute Resolution) Rules, 2020?","The conciliation board is appointed by the Sub-Divisional Authority within fourteen days of receiving the application, as per rule 5(1). The board is tasked with resolving disputes, and its members are appointed in equal numbers based on recommendations from the disputing parties, as specified in rule 5(2)."
Farming Agreement Final Act,"What is the time limit for completing the conciliation process, and what happens if the dispute is settled?","The conciliation process, under rule 6, must be completed within thirty days from the date of appointment of the conciliation board. If the dispute is settled, a Memorandum of Settlement in Form-2 is drawn, signed by the disputing parties, and becomes binding upon them."
Farming Agreement Final Act,"In case the dispute is not settled through conciliation, what is the next step, and what time limit is prescribed for the Sub-Divisional Authority to decide the dispute?","If the dispute is not settled through conciliation within thirty days, an aggrieved party may apply to the concerned Sub-Divisional Authority within fourteen days. The Sub-Divisional Authority is required to decide the dispute in a summary manner, passing a reasoned order within thirty days from the date of filing."
Farming Agreement Final Act,"Who is designated as the Appellate Authority, and what is the time limit for filing an appeal against the order of the Sub-Divisional Authority?","The Collector of the concerned district or the Additional Collector nominated by the Collector of the district is designated as the Appellate Authority. An appeal against the order of the Sub-Divisional Authority must be filed within thirty days, as specified in rule 10(1)."
Farming Agreement Final Act,"What are the essential requirements for filing an appeal to the Appellate Authority, and what happens if the appeal is allowed to be filed after forty-five days?","The requirements for filing an appeal include a written and duly signed appeal memo, a certified copy of the order passed by the Sub-Divisional Authority, supporting documents, and an optional representation through an advocate. The appeal can be allowed within forty-five days instead of thirty days if the party shows reasonable or justifiable cause for the delay."
Farming Agreement Final Act,"What is the legal status of the order passed by the Appellate Authority, and how is the decretal amount recovered?","The order passed by the Appellate Authority, as well as the order under rule 8 passed by the Sub-Divisional Authority, has the force of a decree of the civil court. The decretal amount is recoverable as arrears of land revenue, as specified in rule 10(4)."
National Livestock Mission,What is the primary focus of the National Livestock Mission?,"The primary focus of the National Livestock Mission is entrepreneurship development and breed improvement in poultry, sheep, goat, and piggery, including feed and fodder development."
National Livestock Mission,"How many Sub-Missions does the National Livestock Mission have, and what are their names?",The National Livestock Mission has three Sub-Missions:\r\n\r\nSub-Mission on Breed Development of Livestock & Poultry\r\nSub-Mission on Feed and Fodder development\r\nSub-Mission on Extension and Innovation
National Livestock Mission,Who are the targeted beneficiaries for entrepreneurship development and breed improvement under the Sub-Mission on Breed Development of Livestock & Poultry?,"The targeted beneficiaries include individuals, FPOs, SHGs, Section 8 companies for entrepreneurship development, and State Governments for breed improvement infrastructure."
National Livestock Mission,What is the objective of the Sub-Mission on Feed and Fodder Development?,"The objective of the Sub-Mission on Feed and Fodder Development is to strengthen the fodder seed chain, improve certified fodder seed availability, and encourage entrepreneurs to establish fodder Block/Hey Bailing/Silage Making Units through incentivization."
National Livestock Mission,"What sectors does the Sub-Mission on Research & Development, Livestock Insurance, Extension and Innovation cover?","The Sub-Mission covers research and development related to sheep, goat, pig, feed, and fodder sector, extension activities, livestock insurance, and innovation."
National Livestock Mission,What type of infrastructure improvement does the Sub-Mission on Breed Development of Livestock & Poultry support?,"The Sub-Mission supports infrastructure improvement for entrepreneurship development and breed improvement in poultry, sheep, goat, and piggery."
National Livestock Mission,What activities does the Sub-Mission on Feed and Fodder Development aim to strengthen?,"The Sub-Mission aims to strengthen the fodder seed chain, encourage establishment of fodder units, and improve availability of certified fodder seed."
National Livestock Mission,How does the National Livestock Mission support innovation in the livestock sector?,"The Sub-Mission on Extension and Innovation under the National Livestock Mission incentivizes institutes, universities, and organizations carrying out research, development, and innovation in the livestock sector."
National Livestock Mission,"What is the funding pattern for the Sub-Mission on Research & Development, Livestock Insurance, Extension and Innovation?","The funding pattern is 60:40 Centre: State, except for NE states & 3 Himalayan Region where it is 90:10 Centre: State; 100% central assistance to UTs."
National Livestock Mission,Which livestock and poultry are targeted for entrepreneurship development and breed improvement under the National Livestock Mission?,"Poultry, sheep, goat, and piggery are targeted for entrepreneurship development and breed improvement."
National Livestock Mission,How does the Sub-Mission on Feed and Fodder Development encourage entrepreneurs?,The Sub-Mission encourages entrepreneurs by providing incentives for the establishment of fodder Block/Hey Bailing/Silage Making Units.
National Livestock Mission,What is the significance of the Sub-Mission on Extension and Innovation under the National Livestock Mission?,"The Sub-Mission on Extension and Innovation incentivizes research, development, and innovation in the livestock sector, contributing to its growth and sustainability."
Animal Husbandry Statistics (AHS),What is the mandate of the Animal Husbandry Statistics (AHS) Division under the scheme?,The AHS Division is mandated to generate Animal Husbandry Statistics through the Centrally Sponsored Scheme 'Livestock Census and Integrated Sample Survey.'
Animal Husbandry Statistics (AHS),How many components are there in the AHS Division's Centrally Sponsored Scheme?,The AHS Division's Centrally Sponsored Scheme consists of two components: Livestock Census (LC) and Integrated Sample Survey (ISS).
Animal Husbandry Statistics (AHS),What is the primary purpose of the Livestock Census (LC) component?,The Livestock Census (LC) is conducted to provide a complete count of livestock and poultry at a predefined reference point in time.
Animal Husbandry Statistics (AHS),When did the Livestock Census (LC) start in the country?,The Livestock Census started in the country in the year 1919.
Animal Husbandry Statistics (AHS),"How is the Livestock Census (LC) conducted, and what does it aim to ascertain?","Similar to a population census, the Livestock Census is conducted through house-to-house enumeration to ascertain the number of livestock and poultry possessed by households, enterprises, and institutions, considering factors such as age, sex, and use."
Animal Husbandry Statistics (AHS),"What technology was used for the 20th Livestock Census, and why is it significant?","Tablet computers were used for the 20th Livestock Census, marking a shift in technology for data collection."
Animal Husbandry Statistics (AHS),What does the Integrated Sample Survey (ISS) focus on estimating?,"The ISS focuses on estimating the quantum of four major livestock products (MLPs): Milk, Egg, Meat, and Wool."
Animal Husbandry Statistics (AHS),"How is the Integrated Sample Survey (ISS) conducted, and what does it help measure?","The ISS is conducted through Computer Assisted Personal Interviewing (CAPI), replacing paper schedules. It helps measure the contribution of the livestock sector and its products in the total economy."
Animal Husbandry Statistics (AHS),"What is the survey period for the Integrated Sample Survey (ISS), and how is it divided?","The survey period is from March to February, divided into three seasons: summer, rainy, and winter, each having a four-month period."
Animal Husbandry Statistics (AHS),What does the AHS Division publish annually as part of its mandate?,"The AHS Division publishes the All India Livestock Report, providing livestock population details at the National and States/UT levels."
Animal Husbandry Statistics (AHS),"Besides the Livestock Census, what other report does the AHS Division publish based on the latest census?","The AHS Division publishes a Breed-wise report based on the latest Livestock Census, offering detailed breed-wise livestock population at aggregate and segregated levels."
Animal Husbandry Statistics (AHS),"What is the annual publication titled 'Basic Animal Husbandry Statistics,' and what information does it provide?","The annual publication provides production estimates of four major livestock products: milk, meat, egg, and wool, contributing to Animal Husbandry Statistics."
Livestock Health and Disease Control,What is the overall aim of the Livestock Health & Disease Control scheme?,"The overall aim of the Livestock Health & Disease Control scheme is to improve the animal health sector through prophylactic vaccination, capacity building, disease surveillance, and strengthening veterinary infrastructure."
Livestock Health and Disease Control,What are the main objectives of the Livestock Health & Disease Control scheme?,"The scheme aims to eradicate Peste des Petits Ruminants (PPR) by 2030, control Classical Swine Fever (CSF) through vaccination, provide veterinary services at farmers' doorsteps via Mobile Veterinary Units (MVUs), and assist States/UTs in controlling important livestock and poultry diseases under ASCAD."
Livestock Health and Disease Control,How is Peste des Petits Ruminants (PPR) targeted for eradication?,"The Peste des Petits Ruminants Eradication Program (PPR-EP) covers the entire sheep and goat population for carpet vaccination, ensuring 100% effective coverage with 100% central assistance to States/UTs."
Livestock Health and Disease Control,What is the funding pattern for the overall Livestock Health & Disease Control scheme?,"The funding pattern is 100% central assistance for the Critical Animal Disease Control Programme (CADCP) and the non-recurring components of ESVHD. For other components and ASCAD, it is 60:40 between Central and State, with variations for hilly/NE States and 100% for UTs."
Livestock Health and Disease Control,What activities are covered under ASCAD to control livestock and poultry diseases?,"ASCAD includes vaccination against economically important diseases prioritized by the State/UT, control of emergent and exotic diseases, and assistance for research & innovation, publicity & awareness, training, and allied activities with varying funding patterns."
Livestock Health and Disease Control,How does the Livestock Health & Disease Control scheme address emergent diseases?,"The scheme addresses emergent diseases through surveillance activities to check ingress, ring vaccination during outbreaks, and compensation to farmers for culling and destruction of poultry feed/eggs, with a 50:50 funding pattern between Centre and states."
Livestock Health and Disease Control,What is the objective of the Establishment and Strengthening of existing Veterinary Hospitals and Dispensaries (ESVHD) component?,"The ESVHD aims to help states establish new veterinary hospitals and dispensaries, strengthen existing ones, and equip them, including running mobile veterinary ambulances, with financial assistance."
Livestock Health and Disease Control,How does the scheme enhance accessibility to veterinary services?,"The scheme enhances accessibility through Mobile Veterinary Units (MVUs) provided to States/UTs, approximately 1 MVU for one lakh livestock population. MVUs offer veterinary healthcare at farmers' doorsteps, responding to calls received at the Call Centre."
Livestock Health and Disease Control,What role does the Call Centre play in the Livestock Health & Disease Control scheme?,"The State/UT level Call Centre functions as a pivot, receiving calls from livestock rearers/animal owners. It transmits calls to the Veterinary doctor, decides MVU direction based on the case's emergent nature, monitors MVUs' movement, and confirms actual services through UID and mobile number."
Livestock Health and Disease Control,What is the Classical Swine Fever Control Program (CSF-CP) and its implementation target?,"The CSF-CP is a program targeting the entire eligible pig population for the control of Classical Swine Fever (CSF) through vaccination, with a funding pattern of 100% central assistance to States/UTs."
Livestock Health and Disease Control,How does the Livestock Health & Disease Control scheme contribute to socio-economic development?,"Implementation of the scheme leads to disease prevention & control, increased access to veterinary services, higher animal productivity, trade boost in livestock and poultry, and improvement in the socio-economic status of farmers."
Livestock Health and Disease Control,What is the significance of the Research & Innovation component under ASCAD?,"The Research & Innovation component supports collaborations in research, innovations, trainings, capacity building, and crisis management mock drills, contributing to the advancement of the livestock sector."
National Programme for Dairy Development,What is the objective of the National Programme for Dairy Development (NPDD)?,The NPDD aims to enhance the quality of milk and milk products and increase the share of organized milk procurement.
National Programme for Dairy Development,"How many components does the NPDD scheme have, and what are they?",The NPDD scheme consists of two components: Component 'A' and Component 'B' (Dairying Through Cooperatives).
National Programme for Dairy Development,What is the focus of Component 'A' under NPDD?,"Component 'A' focuses on creating and strengthening infrastructure for quality milk testing equipment and primary chilling facilities for various dairy organizations, including State Cooperative Dairy Federations, District Cooperative Milk Producers' Union, SHGs, private dairies, Milk Producer Companies, and Farmer Producer Organisations."
National Programme for Dairy Development,What is the duration of the NPDD scheme's implementation across the country?,The NPDD scheme will be implemented across the country for a period of five years from 2021-22 to 2025-26.
National Programme for Dairy Development,Can you explain Component 'B' (Dairying Through Cooperatives) under NPDD?,"Component 'B' provides financial assistance from the Japan International Cooperation Agency (JICA) for an externally aided project. Initially implemented on a pilot basis in Uttar Pradesh and Bihar, it aims to create necessary dairy infrastructure, provide market linkages for produce in villages, and strengthen capacity building from the village to the State level."
National Programme for Dairy Development,Which institutions or organizations benefit from Component 'A' of NPDD?,"Component 'A' benefits State Cooperative Dairy Federations, District Cooperative Milk Producers' Union, SHG-run private dairies, Milk Producer Companies, and Farmer Producer Organisations."
National Programme for Dairy Development,What is the key emphasis of Component 'B' (Dairying Through Cooperatives) in NPDD?,"Component 'B' places emphasis on creating necessary dairy infrastructure, establishing market linkages for produce in villages, and strengthening capacity building of stake-holding institutions from the village to the State level."
National Programme for Dairy Development,What role does the Japan International Cooperation Agency (JICA) play in NPDD?,JICA provides financial assistance for Component 'B' (Dairying Through Cooperatives) of NPDD as per a project agreement. The project is implemented on a pilot basis initially in Uttar Pradesh and Bihar.
National Programme for Dairy Development,How does NPDD contribute to the improvement of milk quality?,NPDD contributes to the enhancement of milk quality through the creation and strengthening of infrastructure for quality milk testing equipment under Component 'A'.
National Programme for Dairy Development,What is the fund sharing pattern between the Centre and State under NPDD?,The fund sharing pattern between the Centre and State for NPDD varies for its components. Specific details about the funding pattern are essential to provide an accurate answer.
National Programme for Dairy Development,Which period does the NPDD scheme cover for its implementation?,The NPDD scheme is implemented for a period of five years from 2021-22 to 2025-26.
National Programme for Dairy Development,In which states is Component 'B' initially implemented under NPDD?,Component 'B' (Dairying Through Cooperatives) is initially implemented on a pilot basis in Uttar Pradesh and Bihar under NPDD.
Pradhan Mantri Gram Sadak Yojana,What is the primary objective of Pradhan Mantri Gram Sadak Yojana (PMGSY)?,The primary objective of PMGSY is to provide all-weather access to eligible unconnected habitations in rural areas.
Pradhan Mantri Gram Sadak Yojana,"How is the PMGSY scheme funded, and when did the funding pattern change?","PMGSY was centrally funded until 2015-16; afterward, funds are divided between the Centre and the State. For North Eastern and Himalayan States, 90% is Union Government funds, and for other states, it's 60% Union Government funds."
Pradhan Mantri Gram Sadak Yojana,What population criteria define habitations eligible for PMGSY in plain areas and special category states?,"In plain areas, habitations with a population of up to 500 (Census 2001) are eligible, and in special category states, those with 250 and above population."
Pradhan Mantri Gram Sadak Yojana,Can you mention some prominent features of PMGSY?,"Prominent features include proper decentralized planning, adherence to Indian Road Congress and Rural Roads Manual, and a 3-tier quality management system."
Pradhan Mantri Gram Sadak Yojana,Who decides which habitations are selected under PMGSY?,Panchayati Rajs and elected local representatives decide the habitations to be selected under PMGSY.
Pradhan Mantri Gram Sadak Yojana,"When was PMGSY launched, and how much road length has been constructed as of December 8, 2021?","PMGSY was launched on December 25, 2000. As of December 8, 2021, a total of 6,80,040 km of road length has been constructed under various interventions of PMGSY."
Pradhan Mantri Gram Sadak Yojana,What areas are considered special category states under PMGSY?,"States of North East, Jammu and Kashmir, Himachal Pradesh, Uttarakhand, and Desert Areas identified by Desert Development Program are considered special category states."
Pradhan Mantri Gram Sadak Yojana,What entities receive financial assistance under PMGSY Component 'A'?,"Financial assistance is provided for creating/strengthening infrastructure for quality milk testing equipment and primary chilling facilities for State Cooperative Dairy Federations, District Cooperative Milk Producers’ Union, SHG run private dairy, Milk Producer Companies, and Farmer Producer Organizations."
Pradhan Mantri Gram Sadak Yojana,What is the funding pattern for PMGSY projects in North Eastern and Himalayan States?,"For North Eastern and Himalayan States, 90% of the project is funded by the Union Government, and the remaining 10% is covered by the State Government."
Pradhan Mantri Gram Sadak Yojana,How is the funding divided between the Centre and the State for PMGSY projects in other states?,"For other states, 60% of the project is funded by the Union Government, and the remaining 40% is covered by the State Government."
Pradhan Mantri Gram Sadak Yojana,Can you mention the components of PMGSY Component 'B' (Dairying Through Cooperatives)?,PMGSY Component 'B' focuses on creating necessary dairy infrastructure for market linkages in villages and strengthening capacity building of stake-holding institutions.
Pradhan Mantri Gram Sadak Yojana,What is the significance of PMGSY's 3-tier quality management system?,"The 3-tier quality management system ensures the construction of robust, all-weather roads in rural habitations and core areas according to specified standards and guidelines."
Pradhan Mantri Adarsh Gram Yojana,What is the primary objective of Pradhan Mantri Adarsh Gram Yojana (PMAGY)?,The primary objective of PMAGY is the integrated development of Scheduled Castes majority villages through convergent implementation of relevant Central and State/UT Government schemes.
Pradhan Mantri Adarsh Gram Yojana,"When was PMAGY launched, and how were the selected villages identified during the pilot phase?","PMAGY was launched during 2009-10. During the pilot phase, 1000 villages were selected from Tamil Nadu, Rajasthan, Bihar, Himachal Pradesh, and Assam."
Pradhan Mantri Adarsh Gram Yojana,What activities are undertaken through 'Gap-filling' funds provided under PMAGY?,"Activities not covered under existing Central and State Government schemes are undertaken through 'Gap-filling' funds, provided as Central Assistance to the extent of ₹20,00,000 per village."
Pradhan Mantri Adarsh Gram Yojana,What is the vision of an 'Adarsh Gram' under PMAGY?,"An 'Adarsh Gram' is one where people have access to various basic services, fulfilling the minimum needs of all sections of society, reducing disparities, and having infrastructure and services necessary for dignified living."
Pradhan Mantri Adarsh Gram Yojana,"How many villages were selected for the pilot phase of PMAGY, and have they been declared 'Adarsh Gram'?","1000 villages were selected for the pilot phase, and all these villages have been declared as 'Adarsh Gram' by the respective State Governments."
Pradhan Mantri Adarsh Gram Yojana,What states were part of the pilot phase of PMAGY?,"The states involved in the pilot phase were Tamil Nadu, Rajasthan, Bihar, Himachal Pradesh, and Assam."
Pradhan Mantri Adarsh Gram Yojana,How is the integrated development of SC majority villages achieved under PMAGY?,Integrated development is achieved through convergent implementation of relevant Central and State/UT Government schemes and by taking up identified activities through 'Gap-filling' funds.
Pradhan Mantri Adarsh Gram Yojana,What is the Central Assistance provided under PMAGY for identified activities?,"Gap-filling' funds provided as Central Assistance amount to ₹20,00,000 per village."
Pradhan Mantri Adarsh Gram Yojana,Who selects the habitations eligible for Pradhan Mantri Gram Sadak Yojana (PMGSY)?,Panchayati Rajs and elected local representatives decide which habitations are eligible for PMGSY.
Pradhan Mantri Adarsh Gram Yojana,Can you mention some states that were part of the pilot phase of PMAGY?,"States such as Tamil Nadu, Rajasthan, Bihar, Himachal Pradesh, and Assam were part of the pilot phase of PMAGY."
Pradhan Mantri Adarsh Gram Yojana,What is the significance of 'Gap-filling' funds in PMAGY?,"Gap-filling' funds play a crucial role in undertaking activities not covered under existing Central and State Government schemes, ensuring comprehensive development."
Pradhan Mantri Adarsh Gram Yojana,What is the principal objective of PMAGY?,The principal objective of PMAGY is the integrated development of Scheduled Castes majority villages through convergent implementation of relevant Central and State/UT Government schemes.
Pradhan Mantri Kisan Maan Dhan Yojana,What is the main objective of Pradhan Mantri Kisan Maan Dhan Yojana (PM-KMY)?,PM-KMY aims to provide an assured monthly pension of ₹3000 to all Small and Marginal farmers after the age of 60 years.
Pradhan Mantri Kisan Maan Dhan Yojana,Who is eligible for Pradhan Mantri Kisan Maan Dhan Yojana?,Small and Marginal farmers with entry age between 18 to 40 years and cultivable land up to 2 hectares are eligible for PM-KMY.
Pradhan Mantri Kisan Maan Dhan Yojana,What are the features of PM-KMY?,PM-KMY is a voluntary and contributory pension scheme with an assured pension of ₹3000 per month. It comes under the Maandhan Umbrella along with other schemes like Pradhan Mantri Shram Yogi Maan-dhan Yojana and National Pension Scheme for Traders & Self-Employed Persons.
Pradhan Mantri Kisan Maan Dhan Yojana,What is the entry age for farmers to join Pradhan Mantri Kisan Maan Dhan Yojana?,Farmers with an entry age between 18 to 40 years can join PM-KMY.
Pradhan Mantri Kisan Maan Dhan Yojana,What are the benefits of PM-KMY?,"The scheme provides an assured pension of ₹3000 per month to Small and Marginal farmers, contributing to their old-age protection and social security."
Pradhan Mantri Kisan Maan Dhan Yojana,Can you name other schemes under the Maandhan Umbrella along with PM-KMY?,Other schemes under the Maandhan Umbrella include Pradhan Mantri Shram Yogi Maan-dhan Yojana and National Pension Scheme for Traders & Self-Employed Persons.
Pradhan Mantri Kisan Maan Dhan Yojana,What is the age criterion for receiving the assured pension under PM-KMY?,Farmers become eligible to receive the assured pension of ₹3000 per month after reaching the age of 60 years.
Pradhan Mantri Kisan Maan Dhan Yojana,What is the contribution structure for Pradhan Mantri Kisan Maan Dhan Yojana?,"PM-KMY is a contributory pension scheme where farmers make voluntary contributions, and the government also provides matching contributions."
Pradhan Mantri Kisan Maan Dhan Yojana,How does PM-KMY contribute to the social security of Small and Marginal farmers?,PM-KMY ensures social security for Small and Marginal farmers by providing them with an assured monthly pension after the age of 60 years.
Pradhan Mantri Kisan Maan Dhan Yojana,Under which ministry is Pradhan Mantri Kisan Maan Dhan Yojana implemented?,Pradhan Mantri Kisan Maan Dhan Yojana is implemented by the Ministry of Agriculture and Farmers Welfare.
Pradhan Mantri Kisan Maan Dhan Yojana,What is the eligibility criterion related to cultivable land for PM-KMY?,"Farmers with cultivable land up to 2 hectares, as per land records of the concerned State/UT, are eligible for PM-KMY."
Pradhan Mantri Kisan Maan Dhan Yojana,What role does Pradhan Mantri Kisan Maan Dhan Yojana play in ensuring the welfare of Small and Marginal farmers?,"PM-KMY contributes to the welfare of Small and Marginal farmers by offering them an assured pension, promoting old-age protection and social security."
National Agriculture Market (e-NAM),What is the primary objective of the e-National Agriculture Market (e-NAM)?,The primary objective of e-NAM is to create a unified national market for agricultural commodities by networking existing APMC/Mandis.
National Agriculture Market (e-NAM),"When was the e-National Agriculture Market (e-NAM) launched, and by whom?","e-NAM was launched on 14th April 2016, by the Prime Minister of India, with the aim of creating a unified national market for agricultural commodities."
National Agriculture Market (e-NAM),What is the role of Small Farmers Agribusiness Consortium (SFAC) in e-NAM?,"SFAC is the lead agency for implementing e-NAM under the Ministry of Agriculture and Farmers’ Welfare, facilitating the networking of existing APMC/Mandis on a common online market platform."
National Agriculture Market (e-NAM),How does e-NAM benefit farmers and traders?,"e-NAM enables farmers to trade their produce through nearby e-NAM mandis, allowing traders to bid online from any location. It provides single-window services, including e-Bidding, quality assaying, and e-payment settlement."
National Agriculture Market (e-NAM),What are the objectives of e-National Agriculture Market (e-NAM)?,"The objectives include integrating markets at the state/UT level, streamlining marketing procedures, promoting better marketing opportunities, establishing quality assaying systems, and ensuring stable prices and availability of quality produce."
National Agriculture Market (e-NAM),What services does e-NAM provide to farmers through its portal?,"e-NAM provides services such as commodity arrivals, quality assaying by AI-based machines, e-Bidding, and direct e-payment settlement into farmers' accounts."
National Agriculture Market (e-NAM),"How does e-NAM contribute to ""One Nation One Market"" for agricultural commodities?","e-NAM achieves ""One Nation One Market"" by networking existing mandis on a common online platform, facilitating pan-India trade in agricultural commodities."
National Agriculture Market (e-NAM),"Which department initiated e-NAM integration in Jammu & Kashmir, and how many mandis were integrated?","The Horticulture Planning & Marketing Department, J&K, initiated e-NAM integration by integrating 2 Mandis - Narwal (Jammu) & Parimpora (Srinagar) in the first phase and nine more mandis in the second phase."
National Agriculture Market (e-NAM),What role does e-NAM play in ensuring information symmetry between farmers and traders?,"e-NAM removes information asymmetry between farmers and traders by providing real-time information on commodity arrivals, quality, and prices."
National Agriculture Market (e-NAM),What are the seasons covered in the Integrated Sample Survey under e-NAM?,"The Integrated Sample Survey under e-NAM covers three seasons: summer, rainy, and winter, ensuring progressive estimates of agricultural commodities."
National Agriculture Market (e-NAM),How does e-NAM contribute to the promotion of informed bidding by buyers?,"e-NAM promotes informed bidding by providing accurate information on commodity arrivals, quality, and real-time demand and supply."
National Agriculture Market (e-NAM),What is the role of SFAC in the implementation of e-NAM?,"SFAC serves as the lead agency for implementing e-NAM under the Ministry of Agriculture and Farmers’ Welfare, overseeing the integration of APMC/Mandis into a unified national market"
 Rashtriya Gokul Mission (RGM),"What is the Rashtriya Gokul Mission (RGM), and when was it implemented?",Rashtriya Gokul Mission (RGM) is a scheme implemented since December 2014 for the development and conservation of indigenous bovine breeds.
 Rashtriya Gokul Mission (RGM),How does the Rashtriya Gokul Mission contribute to milk production and rural farmers' income?,RGM enhances milk production and makes dairying more remunerative for rural farmers by focusing on the development and conservation of indigenous bovine breeds.
 Rashtriya Gokul Mission (RGM),"Under the Rashtriya Gokul Mission, what is the budget outlay and the duration of the scheme from 2021 to 2026?","The Rashtriya Gokul Mission continues under the umbrella scheme Rashtriya Pashudhan Vikas Yojna from 2021 to 2026, with a budget outlay of Rs. 2400 crore."
 Rashtriya Gokul Mission (RGM),What are the objectives of the Rashtriya Gokul Mission?,"The objectives include enhancing productivity, propagating the use of high genetic merit bulls, enhancing artificial insemination coverage, promoting indigenous cattle and buffalo rearing, and conservation in a scientific and holistic manner."
 Rashtriya Gokul Mission (RGM),What role does Rashtriya Gokul Mission play in ensuring gender inclusivity?,"The program benefits women, with over 70% of the work involved in livestock farming being undertaken by women."
 Rashtriya Gokul Mission (RGM),What components does the Rashtriya Gokul Mission consist of?,"The components include availability of high genetic merit germplasm, extension of artificial insemination network, development and conservation of indigenous breeds, skill development, farmer awareness, and research development and innovation in bovine breeding."
 Rashtriya Gokul Mission (RGM),What is the funding pattern for the components of Rashtriya Gokul Mission?,"All components are implemented on a 100% grant-in-aid basis, except for certain components where subsidies are provided to participating farmers and entrepreneurs."
 Rashtriya Gokul Mission (RGM),What is the role of Breed Multiplication Farms under Rashtriya Gokul Mission?,"Breed Multiplication Farms aim to strengthen the availability of high genetic merit germplasm by implementing technologies like Progeny Testing, Pedigree Selection, Genomic Selection, and Import of Germplasm."
 Rashtriya Gokul Mission (RGM),How does Rashtriya Gokul Mission contribute to the propagation of artificial insemination?,"Rashtriya Gokul Mission strengthens the artificial insemination network by establishing MAITRIs, nationwide AI programs, and promoting the use of sex-sorted semen."
 Rashtriya Gokul Mission (RGM),How does Rashtriya Gokul Mission support farmers in developing and conserving indigenous breeds?,"Rashtriya Gokul Mission provides assistance to Gaushalas, Gosadans, Pinjarapoles, and administrative expenditure for the operation of Rashtriya Kamdhenu Aayog to support the development and conservation of indigenous breeds."
 Rashtriya Gokul Mission (RGM),"What is the role of Rashtriya Gokul Mission in promoting research, development, and innovation in bovine breeding?","Rashtriya Gokul Mission allocates funds for research, development, and innovation in bovine breeding to enhance productivity and genetic merit of cattle and buffaloes."
 Rashtriya Gokul Mission (RGM),How does Rashtriya Gokul Mission contribute to the skill development of individuals involved in livestock farming?,"Rashtriya Gokul Mission includes a component focused on skill development, ensuring that individuals involved in livestock farming are equipped with the necessary knowledge and expertise."
